ldap-c-d05.ucl.ac.uk.ssh	nagios-b-d04.ucl-0.ucl.ac.uk	120
ldap-c-d05.ucl.ac.uk.ldaps	util01.ext.young.ucl.ac.uk	16
ldap-c-d05.ucl.ac.uk.ldaps	util02.ext.young.ucl.ac.uk	12724
ldap-c-d05.ucl.ac.uk.ldaps	10.28.101.5	63
ldap-c-d05.ucl.ac.uk.ldaps	10.55.0.10	163
ldap-c-d05.ucl.ac.uk.ldaps	10.28.101.10	62
ldap-c-d05.ucl.ac.uk.ldaps	10.36.101.26	19
ldap-c-d05.ucl.ac.uk.ldaps	10.36.101.27	23
ldap-c-d05.ucl.ac.uk.ldaps	10.36.101.61	22
ldap-c-d05.ucl.ac.uk.ldaps	10.36.101.62	20
ldap-c-d05.ucl.ac.uk.ldaps	10.36.101.63	18
ldap-c-d05.ucl.ac.uk.ldaps	10.61.38.248	146
ldap-d-d05.ucl.ac.uk.ldap	ltm-d04-00-a.isd-adc.ucl.ac.uk	7200
ldap-d-d05.ucl.ac.uk.ldap	ltm-d04-00-b.isd-adc.ucl.ac.uk	7200
ldap-d-d05.ucl.ac.uk.ldaps	ltm-d04-00-a.isd-adc.ucl.ac.uk	7200
ldap-d-d05.ucl.ac.uk.ldaps	ltm-d04-00-b.isd-adc.ucl.ac.uk	7200
ldap-d-d05.ucl.ac.uk.5666	nagios-b-d04.ucl-0.ucl.ac.uk	1557
ldap-d-d05.ucl.ac.uk.ldaps	nagios-b-d04.ucl-0.ucl.ac.uk	6
ldap-d-d05.ucl.ac.uk.ssh	nagios-b-d04.ucl-0.ucl.ac.uk	119
